Cliente,valorTotal,qCom,uCom,vProd,vUnCom,xProd,indTot,qCom (2),uCom (2),vProd (2),vUnCom (2),xProd (2),indTot (2),qCom (3),uCom (3),vProd (3),vUnCom (3),xProd (3),indTot (3),qCom (4),uCom (4),vProd (4),vUnCom (4),xProd (4),Scored Labels
686,47.99,0.634,KG,43.49,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
687,37.83,0.486,KG,33.33,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
688,27,1,UN,4.5,4.5,SUCO,1,0.328,KG,22.5,68.6,BUFFET,,,"",,,"",,,"",,,"",
689,35.33,1,UN,3.5,3.5,AGUA,1,0.464,KG,31.83,68.6,BUFFET,,,"",,,"",,,"",,,"",
690,34.4,0.436,KG,29.9,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
691,30.94,1,UN,3.5,3.5,AGUA,1,0.4,KG,27.44,68.6,BUFFET,,,"",,,"",,,"",,,"",
692,31.45,0.412,KG,28.26,68.6,BUFFET,1,1,UN,3.2,3.2,DOCINHOS,,,"",,,"",,,"",,,"",
693,40.99,0.532,KG,36.49,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
694,37.56,0.482,KG,33.06,68.6,BUFFET,1,1,UN,4.5,4.5,CERVEJA,,,"",,,"",,,"",,,"",
695,31.32,1,UN,1,1,CHA,1,0.442,KG,30.32,68.6,BUFFET,,,"",,,"",,,"",,,"",
696,55.76,1,UN,3.5,3.5,AGUA,1,0.762,KG,52.27,68.6,BUFFET,,,"",,,"",,,"",,,"",
697,62.59,1,UN,1,1,CHA,1,0.898,KG,61.6,68.6,BUFFET,,,"",,,"",,,"",,,"",
698,35.32,1,UN,3.5,3.5,AGUA,1,0.464,KG,31.83,68.6,BUFFET,,,"",,,"",,,"",,,"",
699,43.18,0.564,KG,38.69,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
700,23.76,1,UN,1,1,CHA,1,0.332,KG,22.77,68.6,BUFFET,,,"",,,"",,,"",,,"",
701,45.03,1,UN,1,1,CHA,1,0.642,KG,44.04,68.6,BUFFET,,,"",,,"",,,"",,,"",
702,25.49,0.306,KG,20.99,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
703,23.94,1,UN,3.5,3.5,AGUA,1,0.298,KG,20.44,68.6,BUFFET,,,"",,,"",,,"",,,"",
704,63.62,0.862,KG,59.13,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
